Element,Structure,d_bond,Y_obs
Ac-Actinium,HCP,4.0059,41.9
Ag-Silver,HCP,2.9022,85.88
Al-Aluminum,FCC,2.863,70.0
Ar-Argon,FCC,3.7923,0.42
B-Boron,R-3m,1.6681,406.15
Ba-Barium,BCC,4.37,14.03
Be-Beryllium,HCP,2.2143,292.76
Bi-Bismuth,R-3m,3.0743,22.8
Br-Bromine,Cmce,2.3901,7.03
C-Carbon,Diamond,1.544,1220.0
Ca-Calcium,FCC,3.9434,19.64
Cd-Cadmium,HCP,2.9585,36.36
Ce-Cerium,FCC,3.3039,79.1
Co-Cobalt,FCC,2.4843,300.68
Cr-Chromium,BCC,2.5711,208.07
Cu-Copper,FCC,2.5296,134.74
Dy-Dysprosium,HCP,3.4917,65.28
Fe-Iron,BCC,2.4778,182.81
Ga-Gallium,Cmce,2.4883,75.03
Ge-Germanium,Diamond,2.4573,107.36
Hf-Hafnium,HCP,3.1241,144.61
Ho-Holmium,HCP,3.4693,69.89
I-Iodine,Cmce,2.8173,7.81
In-Indium,FCC,3.3199,31.25
Ir-Iridium,FCC,2.7251,521.49
La-Lanthanum,HCP,3.7237,41.68
Li-Lithium,R-3m,3.042,11.32
Lu-Lutetium,R-3m,3.4809,71.08
Mg-Magnesium,HCP,3.1562,59.82
Mo-Molybdenum,BCC,2.7432,305.71
Na-Sodium,HCP,3.6888,11.5
Nb-Niobium,BCC,2.8732,73.86
Nd-Neodymium,HCP,3.6657,53.1
Ne-Neon,FCC,2.9663,1.69
Ni-Nickel,FCC,2.4573,233.72
Np-Neptunium,Pnma,2.4575,274.67
Os-Osmium,HCP,2.682,609.8
Pb-Lead,FCC,3.5281,30.71
Pd-Palladium,FCC,2.7699,132.58
Pm-Promethium,HCP,3.634,56.42
Pt-Platinum,FCC,2.7882,139.29
Re-Rhenium,HCP,2.7468,498.86
Rh-Rhodium,FCC,2.6912,376.05
Ru-Ruthenium,HCP,2.6454,481.3
Sb-Antimony,R-3m,2.925,50.34
Sc-Scandium,HCP,3.2741,80.84
Si-Silicon,Diamond,2.3572,151.8
Sm-Samarium,HCP,3.6092,59.16
Sn-Tin,Diamond,2.8449,55.62
Sr-Strontium,HCP,4.3012,18.89
Tb-Terbium,HCP,3.5128,59.4
Tc-Technetium,HCP,2.7065,375.71
Te-Tellurium,P3_121,2.8362,35.67
Th-Thorium,FCC,3.5667,96.41
Ti-Titanium,P6/mmm,2.8262,157.74
Tl-Thallium,HCP,3.471,29.33
Tm-Thulium,HCP,3.4305,76.43
U-Uranium,Cmcm,2.6738,271.29
V-Vanadium,BCC,2.5828,113.72
W-Tungsten,BCC,2.7456,382.04
Y-Yttrium,HCP,3.6144,66.87
Zr-Zirconium,HCP,3.1915,88.86
